record_id,species,order_raw,order_cn,province_cn,province_en_raw,year,year_in_scope,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,order,province,iucn,discover_reason,discovery_method,paper_id,species_cn,english_name,naming_time,identity_source,identity_change_flag,duplicate_group_size,keep_record,coord_status,family,discovery_sites,habitat,altitude,migratory_status,china_red_list,endemic,source_title,source_journal,source_authors,doi,link
1,Accipiter badius,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Hunan,2024,TRUE,LC,Range Shift,Field Observation and Photography,111.63,25.19,Accipitriformes,Hunan,LC,Range shift or distribution change,Field Observation and Photography,New Distribution Record of Accipiter badius in Hunan Province,褐耳鹰,Shikra,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Zhuyuanzhai Village, Centianhe National Wetland Park, Jianghua Yao Autonomous County, Yongzhou, Hunan Province, China",Wetland,217m,Full Migrant,NT,NO,New Distribution Record of Accipiter badius in Hunan Province,Journal of Shandong Forestry Science and Technology,Yan Xujin; Xie Peili; Zheng Shuxian; Wu Tao,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_qELiTNnEM5lTTQH0HxaaGgqQEAVSWQNf3cKpQtL1LjA6oY8n87td55PTFqRWE-GlXuBGILjjE5kiGnpj3Vk7vUc6F077QKTonrVVwIijiWcbsQyUYfc90TH6QwZDqfStXlCnN4LNYJlu_DuRjp_mEfzTiFvftAwF8FzV8aPs_PZw==&uniplatform=NZKPT&language=CHS
2,Accipiter gularis,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Xinjiang,2013,TRUE,LC,Range Shift,Field Observation and Photography,88.36,36.47,Accipitriformes,Xinjiang,LC,Range shift or distribution change,Field Observation and Photography,Survey of Avifauna in Kunlun and Altun Mountains,日本松雀鹰,Japanese Sparrowhawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Altun Mountains National Nature Reserve, Xinjiang, China",Mountain Habitat,NA,Full Migrant,LC,NO,Survey of Avifauna in Kunlun and Altun Mountains,Chinese Journal of Zoology,Ma Ming; Zhang Tong; Zhang Huibin; Zhang Xiang; Chen Ying; Li Weidong; Liu Ming; Ding Peng; Xu Feng; Maierdan Tuergan,10.13859/j.cjz.2013.01.014,NA
3,Accipiter soloensis,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Gansu,2015,TRUE,LC,Range Shift,Rescue Record,116.22,33.7,Accipitriformes,Gansu,LC,Range shift or distribution change,Rescue Record,One bird species first recorded in Gansu Province,赤腹鹰,Chinese Sparrowhawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Sun-Facing Slope, North-Bank Section, Jialing Town, Hui County, Longnan, Gansu Province, China",Forest,780 m,Full Migrant,LC,NO,One bird species first recorded in Gansu Province,Journal of Northwest Normal University (Natural Science),Cheng Xiao; Wan Lixia; Li Hongwei; Diwu Jun; Ning Yingzhi,10.16783/j.cnki.nwnuz.2015.04.020,https://link.cnki.net/doi/10.16783/j.cnki.nwnuz.2015.04.020
4,Accipiter soloensis,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Heilongjiang,2018,TRUE,LC,NA,Field Observation and Photography,125.25,49.09,Accipitriformes,Heilongjiang,LC,Other,Field Observation and Photography,New Distribution Record of Accipiter soloensis in Heilongjiang Province,赤腹鹰,Chinese Sparrowhawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Gaofeng Bird Banding Station, Nenjiang County, Heilongjiang Province, China",NA,NA,Full Migrant,LC,NO,New Distribution Record of Accipiter soloensis in Heilongjiang Province,Chinese Journal of Wildlife,Li Xianda; Yu Xiaodong; Guo Yumin,10.19711/j.cnki.issn2310-1490.2020.04.047,https://link.cnki.net/doi/10.19711/j.cnki.issn2310-1490.2020.04.047
5,Accipiter soloensis,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Inner Mongolia,2020,TRUE,LC,Range Shift,Field Observation and Photography,105.66,38.11,Accipitriformes,Inner Mongolia,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,赤腹鹰,Chinese Sparrowhawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Ecological Park, Bayanhot Town, Alxa Left Banner, Inner Mongolia, China",Artificial Habitat,NA,Full Migrant,LC,NO,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,Sichuan Journal of Zoology,Wang Zhifang; Han Jiawen; Xiao Min; Bai Yuxi; Zhu Dongning; Bai Xiaolong; Wei Hong; Liang Bin; Yang Guisheng,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULaevfwHJT5Cd2UzmPQa47dDoqOPeDTUd5nk80HBvXQw9egR0HHrKUP1-99_aqhrpAKVVc4VuzB7HDFqboDLgKLF_bomc8gpOyEUJbEN5i81WUg3cT5wqhk44q6EBc51dDiliQxnb61a621_jJgeqMcRADvRbsZNdsQ9oCoYcI9rA==&uniplatform=NZKPT&language=CHS
6,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Anhui,2006,TRUE,LC,Range Shift,Field Observation and Photography,117.82,30.23,Accipitriformes,Anhui,LC,Range shift or distribution change,Field Observation and Photography,"Five New Bird Records from Anhui Province, China",凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Xuancheng Xiadu Chinese Alligator Nature Reserve, Anhui Province, China; Qimen Guniujiang Guanyintang Scenic Area, Anhui Province, China",Forest,"40m, 370m",Not a Migrant,NT,NO,"Five New Bird Records from Anhui Province, China",Journal of Huangshan University,Wang Jian,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_pEVgpTQE9pSh3O7ygbJWtELk6uYcSxwF5bhd_da4rNsLg_GWnNHELn8T4MUkocMkM99qGqEpb48tZFfQ3S1wshSqiOj94qL8NJXHZGQwplQqE1JxXO5KD0CgXeW7GBjN6d_FfQlT-GNtalbwpoCv-PiyGap3UqAd7Y6QnzuW04NA==&uniplatform=NZKPT&language=CHS
7,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Beijing,2013,TRUE,LC,Range Shift,Field Observation and Photography,116.17,39.99,Accipitriformes,Beijing,LC,Range shift or distribution change,Field Observation and Photography,Records of Crested Goshawk and Black-winged Kite in Beijing,凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Raptor Migration Monitoring Point, Baiwangshan Forest Park, Beijing, China",Mountain Habitat,NA,Not a Migrant,NT,NO,Records of Crested Goshawk and Black-winged Kite in Beijing,Chinese Journal of Zoology,Wen Cheng; Song Ye; Han Dong; Sun Xiao; Ye Hang,10.13859/j.cjz.2013.06.015,NA
8,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Gansu,2020,TRUE,LC,Range Shift,Field Observation and Photography,105.4,32.6,Accipitriformes,Gansu,LC,Range shift or distribution change,Field Observation and Photography,"New records of Crested Goshawk (Accipiter trivirgatus) and Chestnut-collared Yuhina (Yuhina torqueola) in Gansu Province, China",凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Qiangjiawan Transect, Yuhe Nature Reserve, Gansu Province, China; Baishagou Transect, Yuhe Nature Reserve, Gansu Province, China",NA,"926 m, 985 m",Not a Migrant,NT,NO,"New records of Crested Goshawk (Accipiter trivirgatus) and Chestnut-collared Yuhina (Yuhina torqueola) in Gansu Province, China",Journal of Lanzhou University (Natural Sciences),Cheng Zhichang; Liao Jicheng; Zhao Wei; Bao Xinkang,10.13885/j.issn.0455-2059.2022.05.016,https://link.cnki.net/doi/10.13885/j.issn.0455-2059.2022.05.016
9,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Henan,2008,TRUE,LC,Range Shift,Field Observation and Photography,114.25,31.95,Accipitriformes,Henan,LC,Range shift or distribution change,Field Observation and Photography,"A NEW RECORD OF CRESTED GOSHAWK ACCIPITER TRIVIRGATUS IN HENAN PROVINCE,CHINA",凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Baiyun Protection Station, Dongzhai National Nature Reserve, Henan Province, China",Forest,233m,Not a Migrant,NT,NO,"A NEW RECORD OF CRESTED GOSHAWK ACCIPITER TRIVIRGATUS IN HENAN PROVINCE,CHINA",Journal of Beijing Normal University (Natural Science),Ma Qiang; Li Jianqiang; Zhang Zhengwang; Ruan Xiangfeng; Zhu Jiagui; Xi Bo,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_ra1OvEJHNNsR_pb68uk9BG6X2FrFT7E4E9juEjpNsGW5DSmM-o5nKCcEf_bW70BkiAES_sp42Y--T6Sjj8dDNUzaIp30_JVvJcQyVw6ZQdvp-bI5JoO72YyC0d8m_PrrUg32nvouiNJh315LfHlBY-7ce7k-ie054eFc80YUvvaQ==&uniplatform=NZKPT&language=CHS
10,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Liaoning,2017,TRUE,LC,Range Shift,Field Observation and Photography,121.14,38.73,Accipitriformes,Liaoning,LC,Range shift or distribution change,Field Observation and Photography,Three New Accipitridae Records in Liaoning Province,凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Birdwatching Platform, Lushun Laotieshan Chenjia Village, Liaoning Province, China",NA,120 m,Not a Migrant,NT,NO,Three New Accipitridae Records in Liaoning Province,Sichuan Journal of Zoology,Wang Xiaoping; Liu Tao; Guan Xiangyu; Wu Yayong,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUI9N9zhxbjOLcncmCwaQd46BCykta9XSLOKuz6HJtvHCUfHwiU8ORj9oSCrJNBOkivJ9uM2IOCTTaM5ycn29Na39TwEy4yWsHQrR20fir-xa3o9CWoYyb8RfgePqtRD17QjnPDQX71hUkaJhEHFMt13qoSekD06HoG389mMKemWcg==&uniplatform=NZKPT&language=CHS
11,Accipiter trivirgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Shaanxi,1997,FALSE,LC,Range Shift,Field Observation and Photography,107.67,33.55,Accipitriformes,Shaanxi,LC,Range shift or distribution change,Field Observation and Photography,Two New Bird Records in Shaanxi Province,凤头鹰,Crested Goshawk,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Sanguanmiao, Foping Nature Reserve, Shaanxi Province, China",Forest,1520 m,Not a Migrant,NT,NO,Two New Bird Records in Shaanxi Province,Chinese Journal of Zoology,Xu Taoqing; Gong Huisheng; Gao Xuebin; Li Jianqiang,10.13859/j.cjz.2007.04.016,https://link.cnki.net/doi/10.13859/j.cjz.2007.04.016
12,Accipiter virgatus,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Anhui,2011,TRUE,LC,Range Shift,Rescue Record,117.12,31.77,Accipitriformes,Anhui,LC,Range shift or distribution change,Rescue Record,A New Bird Record of Accipiter virgatus in Anhui Province,松雀鹰,Besra,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Tea Plantation, Mountain Area, Gaogang Town, Shucheng County, Lu'an, Anhui Province, China",Farmland/Tea Plantation,NA,Altitudinal Migrant,LC,NO,A New Bird Record of Accipiter virgatus in Anhui Province,Journal of Anhui Agricultural Sciences,Hou Yinxu; Gao Houzhong; Ma Haohao; Yu Lei; Zhang Baowei,10.13989/j.cnki.0517-6611.2012.32.005,NA
13,Aquila fasciata,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Liaoning,2015,TRUE,LC,Range Shift,Field Observation and Photography,121.14,38.73,Accipitriformes,Liaoning,LC,Range shift or distribution change,Field Observation and Photography,Three New Accipitridae Records in Liaoning Province,白腹隼雕,Bonelli'S Eagle,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Lushun Laotieshan Jiangjun Ridge, Liaoning Province, China; Birdwatching Platform, Liaoning Province, China",NA,340 m,Not a Migrant,VU,NO,Three New Accipitridae Records in Liaoning Province,Sichuan Journal of Zoology,Wang Xiaoping; Liu Tao; Guan Xiangyu; Wu Yayong,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUI9N9zhxbjOLcncmCwaQd46BCykta9XSLOKuz6HJtvHCUfHwiU8ORj9oSCrJNBOkivJ9uM2IOCTTaM5ycn29Na39TwEy4yWsHQrR20fir-xa3o9CWoYyb8RfgePqtRD17QjnPDQX71hUkaJhEHFMt13qoSekD06HoG389mMKemWcg==&uniplatform=NZKPT&language=CHS
14,Aquila fasciata,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Shaanxi,2020,TRUE,LC,Range Shift,Rescue Record,110.01,32.85,Accipitriformes,Shaanxi,LC,Range shift or distribution change,Rescue Record,A New Bird Record for Shaanxi Province: Bonelli's Eagle,白腹隼雕,Bonelli'S Eagle,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Nangou Village, Mahu Town, Baihe County, Ankang, Shaanxi Province, China",Mixed Habitat,219 m,Not a Migrant,VU,NO,A New Bird Record for Shaanxi Province: Bonelli's Eagle,Sichuan Journal of Zoology,Li Xia; Xiao Peijun; Liao Xiaoqing; Yu Xiaoping,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUIXQ9cHlCEgeCFs3kEewgHNwU5_WhvMu3tltW-VcF6X8g0Vkzvv5eJWbqpo1SEkev0oxKIlZbRIaOumh_LwJ1ymSjYVU2lHRMfRqghn3KJPqDOmizGdAZF0ycQAFA27sb79lnvVoYzu7TPWAFZ_hvhrkKhgctgA11mWlUKS_VIDvw==&uniplatform=NZKPT&language=CHS
15,Aquila heliaca,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Hunan,2021,TRUE,VU,Range Shift,Rescue Record,110.87,29.98,Accipitriformes,Hunan,VU,Range shift or distribution change,Rescue Record,New distribution record of birds in Hunan Province：Aquila heliaca，Seicercus omeiensis，and Seicercus soror,白肩雕,Eastern Imperial Eagle,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Changling Raptor Observation Point, Hupingshan Nature Reserve, Hunan Province, China",Rivers/Lakes/Water Bodies,601m,Full Migrant,EN,NO,New distribution record of birds in Hunan Province：Aquila heliaca，Seicercus omeiensis，and Seicercus soror,Hunan Forestry Science & Technology,Kang Zujie; Kang Yixin; Shu Zhaoen; He Chunrong; Tang Jia; Wen Zhe; Yi Jianfeng; Ceng Chaohui; Yang Daode,10.3969/j.issn.1003-5710.2023.06.014,NA
16,Aquila heliaca,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Ningxia,2019,TRUE,VU,NA,Field Observation and Photography,106.51,38.55,Accipitriformes,Ningxia,VU,Other,Field Observation and Photography,New Distribution Record of Eastern Imperial Eagle in Ningxia,白肩雕,Eastern Imperial Eagle,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Farmland, Eastern Riverside Wetland, Helan County, Ningxia, China",Mixed Habitat,NA,Full Migrant,EN,NO,New Distribution Record of Eastern Imperial Eagle in Ningxia,Chinese Journal of Wildlife,Yang Chenxi; Nie Wei; Zhang Changliu,10.19711/j.cnki.issn2310-1490.2021.01.042,https://link.cnki.net/doi/10.19711/j.cnki.issn2310-1490.2021.01.042
17,Aviceda jerdoni,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Guangdong,2014,TRUE,LC,NA,Field Observation and Photography,111.44,21.83,Accipitriformes,Guangdong,LC,Other,Field Observation and Photography,Recent Records of Jerdon's Baza in Guangdong Province,褐冠鹃隼,Jerdon'S Baza,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"South Slope, Ehuangzhang, Liping Village, Xinxu Town, Yangxi County, Yangjiang, Guangdong Province, China",Mountain Habitat,1 624 m,Not a Migrant,NT,NO,Recent Records of Jerdon's Baza in Guangdong Province,Chinese Journal of Zoology,Huang Qin; Chen Shenwang; Wu Kansong; Zhuang Lifeng; Liao Zhikai; Liu Yang,10.13859/j.cjz.202322187,NA
18,Aviceda jerdoni,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Hunan,2017,TRUE,LC,NA,Field Observation and Photography,110.88,29.98,Accipitriformes,Hunan,LC,Other,Field Observation and Photography,"Jerdon′s Baza Aviceda jerdoni Found in Hupingshan National Nature Reserve, Hunan",褐冠鹃隼,Jerdon'S Baza,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Chang Ridge Caojiawu, Hupingshan National Nature Reserve, Hunan Province, China",Forest,1 967 m,Not a Migrant,NT,NO,"Jerdon′s Baza Aviceda jerdoni Found in Hupingshan National Nature Reserve, Hunan",Chinese Journal of Zoology,Bai Linzhuang; Kang Zujie; Liu Meisi,10.13859/j.cjz.201802020,NA
19,Aviceda leuphotes,ACCIPITRIFORMES,ACCIPITRIFORMES,NA,Gansu,2018,TRUE,LC,NA,Field Observation and Photography,105.63,33.55,Accipitriformes,Gansu,LC,Other,Field Observation and Photography,"Black Baza (Aviceda leuphotes) Found in the Southeast of Gansu Province, China",黑冠鹃隼,Black Baza,NA,raw_table,FALSE,1,TRUE,valid,Accipitridae,"Bikou Town, Wen County, Gansu Province, China; Tianshui Maijishan Scenic Area, Gansu Province, China",Forest,320 m,Full Migrant,NT,NO,"Black Baza (Aviceda leuphotes) Found in the Southeast of Gansu Province, China",Chinese Journal of Zoology,Bao Xinkang; Liao Jicheng; Bao Weidong,10.13859/j.cjz.20190418,https://link.cnki.net/doi/10.13859/j.cjz.20190418
