bl_accepted,order,n_records,mean_dist_centroid_km,mean_dist_edge_km,pct_inside_range
Elanus caeruleus,Accipitriformes,8,1490.9407109883791,1139.3210212020551,0
Eumyias thalassinus,Passeriformes,6,1153.6049220367054,489.0666149470603,16.666666666666664
Fringilla coelebs,Passeriformes,6,2542.0744142093213,2509.036987743224,0
Otocichla mupinensis,Passeriformes,6,1194.4546831376713,503.33719428239567,16.666666666666664
Passer domesticus,Passeriformes,6,2312.331574624277,1566.7467743408952,0
Abroscopus albogularis,Passeriformes,5,1336.3751785823183,514.8150768652298,0
Phylloscopus tephrocephalus,Passeriformes,5,901.5337057157694,295.57826555078805,40
Chalcophaps indica,Columbiformes,4,974.68415182494,335.9330670795622,0
Charadrius veredus,Charadriiformes,4,2068.4602612908316,1345.4381177664957,0
Eudynamys scolopaceus,Cuculiformes,4,1728.5288415179107,578.2299332420725,0
Hydrophasianus chirurgus,Charadriiformes,4,1471.3093366990843,653.4174597878348,25
Onychoprion anaethetus,Charadriiformes,4,1341.0396795677884,1188.247556722426,0
Phoenicurus ochruros,Passeriformes,4,2434.0673482444045,867.8344332266432,0
Phylloscopus soror,Passeriformes,4,1005.1453944559961,391.0554220721361,0
Sturnus vulgaris,Passeriformes,4,2840.9911479712982,893.8484523806459,0
Sula sula,Suliformes,4,2489.2136930882907,1658.4255148271218,0
Turdus rubrocanus,Passeriformes,4,1076.7935814433927,259.41785347787084,0
Artamus fuscus,Passeriformes,3,550.3616532236665,87.19724005799328,0
Bubulcus ibis,Pelecaniformes,3,1689.535238450759,887.9360851119844,0
Circaetus gallicus,Accipitriformes,3,2665.74520441377,1131.2658170616664,0
Clamator coromandus,Cuculiformes,3,2832.627785749932,2700.424049545349,0
Cyornis glaucicomans,Passeriformes,3,1007.1211191959459,472.20535509831973,0
Dicrurus hottentottus,Passeriformes,3,1519.7642919939178,454.8735756703902,0
Emberiza siemsseni,Passeriformes,3,950.8138333744723,241.72417221173566,0
Ficedula elisae,Passeriformes,3,1250.0592054032302,857.9126698892007,0
Garrulax monileger,Passeriformes,3,958.1019804440431,543.8831653146855,0
Gavia arctica,Gaviiformes,3,2269.121781961149,1844.3568008872055,0
Gracupica nigricollis,Passeriformes,3,1032.1968935902748,497.7471251633559,0
Histrionicus histrionicus,Anseriformes,3,1458.5177373508552,1229.873545774969,0
Hydroprogne caspia,Charadriiformes,3,835.138983252723,777.7426944018503,0
Lanius schach,Passeriformes,3,1238.0435644508434,611.7000102170365,33.33333333333333
Macropygia unchall,Columbiformes,3,1345.51460342016,156.6789310584209,33.33333333333333
Megaceryle lugubris,Coraciiformes,3,1383.4567846398782,203.28229560754787,33.33333333333333
Oenanthe deserti,Passeriformes,3,2348.4540109408003,1130.425132240505,0
Otus semitorques,Strigiformes,3,1021.777761537422,336.3180629267971,0
Phylloscopus castaniceps,Passeriformes,3,1873.2556398776373,992.8538599034541,0
Pyrrhula nipalensis,Passeriformes,3,765.1688155002395,487.9750622731013,0
Rallus aquaticus,Gruiformes,3,1839.0858658809477,761.2569386359362,0
Treron sieboldii,Columbiformes,3,559.4458095999859,5.271403927225173,66.66666666666666
Turdus feae,Passeriformes,3,1146.764099469671,736.4528200874174,0
Tyto alba,Strigiformes,3,1135.7075079038984,548.5734497768651,33.33333333333333
Aegithalos caudatus,Passeriformes,2,905.8082458553502,122.61986319791359,0
Aegithalos concinnus,Passeriformes,2,1028.4887094052754,184.74872164419133,0
Aethopyga christinae,Passeriformes,2,1316.2407051007726,1192.1262483824237,0
Aquila fasciata,Accipitriformes,2,1282.0674909879094,816.2507683639021,0
Aquila heliaca,Accipitriformes,2,1659.548650910598,1469.9681249139437,0
Ardea intermedia,Pelecaniformes,2,3044.7813906999963,2847.7331913203166,0
Athene noctua,Strigiformes,2,1537.1404831453826,206.27686934290142,50
Aythya nyroca,Anseriformes,2,3005.760926965244,1473.8097400673732,0
Carduelis caniceps,Passeriformes,2,1434.4238194416023,808.7251740691082,0
Chlidonias niger,Charadriiformes,2,2325.921440902861,2195.350573186778,0
Circus aeruginosus,Accipitriformes,2,1867.6152802082686,1514.8723313569503,0
Columba oenas,Columbiformes,2,1552.0295543307004,1078.5411715288956,0
Cygnus olor,Anseriformes,2,1361.6923916137512,1250.590876125619,0
Elachura formosa,Passeriformes,2,1000.1340481622262,150.78134798691798,50
Enicurus maculatus,Passeriformes,2,836.7540757304937,7.566857873120507,50
Ficedula erithacus,Passeriformes,2,1369.0534123675461,534.8933245109861,0
Gelochelidon nilotica,Charadriiformes,2,1554.4148211580928,514.3378736509029,0
Geokichla citrina,Passeriformes,2,681.0881069001855,229.33472426614915,50
Glareola lactea,Charadriiformes,2,1076.1606573902682,827.4479119376676,0
Gorsachius melanolophus,Pelecaniformes,2,1748.5105165240661,1195.2156748239333,0
Grus japonensis,Gruiformes,2,2349.665846664899,1494.3028960050988,0
Hemixos castanonotus,Passeriformes,2,1149.3052042027948,495.7900094144509,0
Ixos mcclellandii,Passeriformes,2,988.1007689253177,474.5422072156046,0
Larvivora cyane,Passeriformes,2,2840.0675094524418,1918.3295954954792,0
Limnodromus semipalmatus,Charadriiformes,2,2405.8082442274367,1905.665049850896,0
Locustella davidi,Passeriformes,2,2118.691208465998,1485.5905132726243,0
Lophura nycthemera,Galliformes,2,1261.907954405437,198.5195932376839,0
Mareca falcata,Anseriformes,2,2578.5721095672197,1911.1771101009404,0
Nisaetus nipalensis,Accipitriformes,2,577.6448860187168,461.4188351883222,0
Otus spilocephalus,Strigiformes,2,870.7787856505248,100.20582345002826,50
Oxyura leucocephala,Anseriformes,2,2453.8983156322374,2025.3949422676187,0
Panurus biarmicus,Passeriformes,2,1165.4202401286745,263.25383553144053,50
Pardaliparus venustulus,Passeriformes,2,1402.8981281319634,414.1183278759517,0
Passer cinnamomeus,Passeriformes,2,1280.1009199049981,120.62971202935137,50
Passer hispaniolensis,Passeriformes,2,2129.8844045128244,1808.9222754626126,0
Pericrocotus solaris,Passeriformes,2,869.3973296928777,276.44642672650576,0
Phoenicurus frontalis,Passeriformes,2,1569.9578971888868,656.1449647682787,0
Phylloscopus affinis,Passeriformes,2,2028.5061784540462,1308.6760770360465,0
Picumnus innominatus,Piciformes,2,807.1331573767253,77.08997095221274,50
Prinia flaviventris,Passeriformes,2,1917.0300085882361,1556.5809914839576,0
Psilopogon faiostrictus,Piciformes,2,403.9348409206799,17.718398004114174,50
Rallina eurizonoides,Gruiformes,2,1320.1209318934123,937.2244605704145,0
Recurvirostra avosetta,Charadriiformes,2,1704.0568402058511,1389.0757662971491,0
Remiz coronatus,Passeriformes,2,1069.7188695020845,87.64640145955559,0
Sasia ochracea,Piciformes,2,968.5221978815505,320.052438005452,0
Spilopelia chinensis,Columbiformes,2,1657.9346456973774,446.4640031589111,0
Spilornis cheela,Accipitriformes,2,2101.1323927455524,984.589787938446,0
Sula dactylatra,Suliformes,2,686.414025286151,655.4773903288169,0
Turnix suscitator,Charadriiformes,2,1389.485488088488,461.70147999047066,0
Yuhina nigrimenta,Passeriformes,2,658.4362068443381,64.3946044962614,0
Zoothera dixoni,Passeriformes,2,919.5830358354507,522.419400364669,0
Zoothera mollissima,Passeriformes,2,1148.23944889944,699.9726973635943,0
Accipiter badius,Accipitriformes,1,740.4233048937527,175.51880727342427,0
Acrocephalus orientalis,Passeriformes,1,2494.340792144007,1062.2672016639067,0
Aegithalos bonvaloti,Passeriformes,1,935.125743791476,456.0818199588542,0
Aethopyga gouldiae,Passeriformes,1,1018.5888257420155,35.0157121545247,0
Agropsar sturninus,Passeriformes,1,2535.5500029563564,876.7130972788352,0
Alauda gulgula,Passeriformes,1,4719.703128255537,3525.120570083119,0
Alcippe morrisonia,Passeriformes,1,686.8937778022377,0,100
Anthus godlewskii,Passeriformes,1,1517.4644617618103,1157.9838208252872,0
Anthus richardi,Passeriformes,1,1656.2134133243276,561.3870896735634,0
Anthus roseatus,Passeriformes,1,2127.4438620324495,816.6774463206576,0
Carpodacus roborowskii,Passeriformes,1,589.1566821741752,183.45532316553286,0
Carpodacus vinaceus,Passeriformes,1,1353.1479010797716,509.760572769718,0
Certhia himalayana,Passeriformes,1,351.1785561993105,133.9323000822422,0
Cettia brunnifrons,Passeriformes,1,841.2618957956078,127.52252217429451,0
Cettia castaneocoronata,Passeriformes,1,956.9520987197923,459.7913179664901,0
Charadrius dealbatus,Charadriiformes,1,705.2834130638208,392.80794930948866,0
Charadrius placidus,Charadriiformes,1,2806.3871732649754,1522.3294331528978,0
Chloris ambigua,Passeriformes,1,420.13404786728125,17.86492966817622,0
Ciconia episcopus,Ciconiiformes,1,550.9097678772254,375.9717267133227,0
Ciconia nigra,Ciconiiformes,1,1590.4382483883837,658.3774483059922,0
Circus macrourus,Accipitriformes,1,3590.547232045703,3299.692642184166,0
Circus spilonotus,Accipitriformes,1,2773.656713235001,1926.5024541459977,0
Cisticola exilis,Passeriformes,1,670.0478005669358,207.84953027516352,0
Clamator jacobinus,Cuculiformes,1,608.7836633463561,514.116544852828,0
Clanga clanga,Accipitriformes,1,1979.553394050139,1517.8539279214283,0
Coracias garrulus,Coraciiformes,1,1475.1717884856714,1260.0617615374656,0
Coturnicops exquisitus,Gruiformes,1,3748.550105661884,3586.082697632951,0
Crex crex,Gruiformes,1,2650.2118255791984,2374.777515216316,0
Crossoptilon mantchuricum,Galliformes,1,422.581365747063,0.6831642517209258,0
Cutia nipalensis,Passeriformes,1,1398.3435874607096,1013.8701948718909,0
Cyanistes cyanus,Passeriformes,1,1435.3775874108157,299.2803727353132,0
Cyanoderma rufifrons,Passeriformes,1,881.9331212045057,295.11628995188954,0
Cygnus cygnus,Anseriformes,1,2729.2588561690427,1913.2592311813462,0
Dendrocitta formosae,Passeriformes,1,1259.4187742056076,6.637366155739036,0
Dendrocopos hyperythrus,Piciformes,1,391.002727541403,0,100
Dendrocygna javanica,Anseriformes,1,457.5120250164278,0,100
Dicaeum ignipectus,Passeriformes,1,817.4222255430055,128.83562736716584,0
Dicaeum minullum,Passeriformes,1,888.0901976224865,0,100
Egretta eulophotes,Pelecaniformes,1,364.53860940416104,18.560747590030044,0
Egretta garzetta,Pelecaniformes,1,939.8040019945097,0,100
Emberiza pallasi,Passeriformes,1,2856.909805426628,2549.1486492828258,0
Emberiza rustica,Passeriformes,1,3016.753073055334,2995.263601607863,0
Eremophila alpestris,Passeriformes,1,1751.9341389881365,347.54929912422426,0
Falco cherrug,Falconiformes,1,1447.4240934438901,477.1836200903702,0
Falco severus,Falconiformes,1,1050.0736766789923,0,100
Ficedula albicilla,Passeriformes,1,3305.4724355136827,2270.9327950250936,0
Ficedula mugimaki,Passeriformes,1,2708.599172496423,1909.9304555122467,0
Ficedula ruficauda,Passeriformes,1,1815.7828351324204,1599.6264812105535,0
Fringilla montifringilla,Passeriformes,1,1801.62041028112,1565.4257873303006,0
Galerida cristata,Passeriformes,1,1684.489779545289,250.77042593951597,0
Gallicrex cinerea,Gruiformes,1,643.8968063162096,5.675178986454722,0
Garrulax maesi,Passeriformes,1,588.7259980834416,20.78855713344586,0
Geokichla wardii,Passeriformes,1,73.66515674701783,0.6431302252756177,0
Glaucidium cuculoides,Strigiformes,1,1525.7486599188107,848.1037526234765,0
Gracupica nigricollis,Anseriformes,1,1081.3289343172778,358.81677908965395,0
Grus monacha,Gruiformes,1,2100.4543959965663,2059.019271028795,0
Grus nigricollis,Gruiformes,1,1971.5265578258234,976.018479913778,0
Halcyon coromanda,Coraciiformes,1,237.52576891668735,617.9490461577427,0
Halcyon pileata,Coraciiformes,1,1388.1587218996156,103.2619469849172,0
Haliastur indus,Accipitriformes,1,515.4134488360817,229.013916178961,0
Harpactes wardi,Trogoniformes,1,731.1143261668471,194.21177610976036,0
Hemiprocne coronata,Caprimulgiformes,1,3507.0211503440005,3232.913949724587,0
Hemitesia pallidipes,Passeriformes,1,1173.0271044747537,530.9648481763467,0
Hirundapus caudacutus,Caprimulgiformes,1,1058.6200899446887,408.1057990354672,0
Hirundo rustica,Passeriformes,1,2344.652746783688,287.7318945681001,0
Hirundo smithii,Passeriformes,1,1283.6770062498385,896.8744313973284,0
Hydrocoloeus minutus,Charadriiformes,1,3452.8039096600264,2369.3204910276586,0
Hypothymis azurea,Passeriformes,1,1684.253814300389,872.7795076412036,0
Hypsipetes leucocephalus,Passeriformes,1,662.7191670464631,1.9562990527662605,0
Ibidorhyncha struthersii,Charadriiformes,1,1761.2124245104733,611.363645984022,0
Ixobrychus minutus,Pelecaniformes,1,1334.9080699722679,1088.527192157652,0
Lalage melaschistos,Passeriformes,1,2855.4702484373065,2547.9928297057913,0
Lanius isabellinus,Passeriformes,1,2485.2328549810986,1424.1483421766402,0
Lanius sphenocercus,Passeriformes,1,2612.416380324862,881.705937861996,0
Larus brunnicephalus,Charadriiformes,1,3846.3662244761026,3028.3135736135696,0
Larus canus,Charadriiformes,1,2029.3897550649242,1921.0670027079848,0
Larus crassirostris,Charadriiformes,1,1693.2384647576519,971.1056930217438,0
Larvivora brunnea,Passeriformes,1,1879.1952441052822,1068.8598942447493,0
Leptoptilos javanicus,Ciconiiformes,1,1069.196567108774,957.5089883028984,0
Limosa limosa,Charadriiformes,1,1005.2798107919232,1050.8495180310963,0
Lophotriorchis kienerii,Accipitriformes,1,1123.6311128736972,137.5593556465253,0
Merops philippinus,Coraciiformes,1,1221.6037678163725,1015.0253613832102,0
Mixornis gularis,Passeriformes,1,690.2794585434153,42.740131948064644,0
Motacilla citreola,Passeriformes,1,1804.8965049260996,515.8209230081436,0
Moupinia poecilotis,Passeriformes,1,443.5031153054267,38.72794484058688,0
Muscicapa dauurica,Passeriformes,1,2709.519034265252,1762.1147667291625,0
Neophron percnopterus,Accipitriformes,1,296.2988632526397,0,100
Ninox japonica,Strigiformes,1,1002.9933187010562,0,100
Nycticorax nycticorax,Pelecaniformes,1,2075.564859753888,235.39696082617263,0
Oriolus oriolus,Passeriformes,1,1317.5907847665103,1080.9549246660013,0
Otus lettia,Strigiformes,1,852.115728593986,234.31119963300935,0
Pastor roseus,Passeriformes,1,3603.761686810065,3383.1018638682467,0
Pavo cristatus,Galliformes,1,344.45045787642056,302.4893922299625,0
Pelecanus crispus,Pelecaniformes,1,1967.4706074151777,1485.6528091195473,0
Pellorneum albiventre,Passeriformes,1,1229.1283315538408,390.13586037696075,0
Perdix hodgsoniae,Galliformes,1,749.4701433414562,16.261977354562998,0
Pernis ptilorhynchus,Accipitriformes,1,364.65320988393154,209.7971950574548,0
Phoenicurus leucocephalus,Passeriformes,1,2594.374496617064,692.6581023493975,0
Phylloscopus burkii,Passeriformes,1,2741.682536349333,2206.7277663923273,0
Phylloscopus claudiae,Passeriformes,1,1334.081472864728,925.3406300635027,0
Phylloscopus humei,Passeriformes,1,1975.2282087965589,756.5695823475793,0
Phylloscopus maculipennis,Passeriformes,1,1243.784328359953,764.1657045365204,0
Phylloscopus omeiensis,Passeriformes,1,588.6391736943931,75.79435746914525,0
Phylloscopus valentini,Passeriformes,1,1394.0884823164838,576.5732594719746,0
Picus chlorolophus,Piciformes,1,980.2743757005334,65.80975169052195,0
Pitta moluccensis,Passeriformes,1,995.7376393920649,905.6601651461856,0
Pitta sordida,Passeriformes,1,874.8900387823983,650.7756034156716,0
Platalea minor,Pelecaniformes,1,1152.1075672478182,1133.4536257769664,0
Pnoepyga immaculata,Passeriformes,1,90.48529525462402,0.8361765630292215,0
Podiceps grisegena,Podicipediformes,1,1986.0954710947753,1607.8717046682857,0
Podoces biddulphi,Passeriformes,1,876.4543583098701,232.50668057640735,0
