species,species_canon,bl_accepted,bl_match_type
Abroscopus albogularis,Abroscopus albogularis,Abroscopus albogularis,accepted
Acanthis flammea,Acanthis flammea,Acanthis flammea,accepted
Accipiter badius,Accipiter badius,Accipiter badius,accepted
Accipiter gularis,Accipiter gularis,Accipiter gularis,accepted
Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,accepted
Accipiter trivirgatus,Accipiter trivirgatus,Accipiter trivirgatus,accepted
Accipiter virgatus,Accipiter virgatus,Accipiter virgatus,accepted
Acridotheres cristatellus,Acridotheres cristatellus,Acridotheres cristatellus,accepted
Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,accepted
Acrocephalus agricola,Acrocephalus agricola,Acrocephalus agricola,accepted
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,accepted
Acrocephalus concinens,Acrocephalus concinens,Acrocephalus concinens,accepted
Acrocephalus dumetorum,Acrocephalus dumetorum,Acrocephalus dumetorum,accepted
Acrocephalus orientalis,Acrocephalus orientalis,Acrocephalus orientalis,accepted
Acrocephalus tangorum,Acrocephalus tangorum,Acrocephalus tangorum,accepted
Aegithalos bonvaloti,Aegithalos bonvaloti,Aegithalos bonvaloti,accepted
Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,accepted
Aegithalos concinnus,Aegithalos concinnus,Aegithalos concinnus,accepted
Aegithalos fuliginosus,Aegithalos fuliginosus,Aegithalos fuliginosus,accepted
Aethopyga christinae,Aethopyga christinae,Aethopyga christinae,accepted
Aethopyga gouldiae,Aethopyga gouldiae,Aethopyga gouldiae,accepted
Agropsar philippensis,Agropsar philippensis,Agropsar philippensis,accepted
Agropsar sturninus,Agropsar sturninus,Agropsar sturninus,accepted
Aix galericulata,Aix galericulata,Aix galericulata,accepted
Alauda gulgula,Alauda gulgula,Alauda gulgula,accepted
Alaudala cheleensis,Alaudala cheleensis,Alaudala cheleensis,accepted
Alaudala heinei,Alaudala heinei,Alaudala heinei,accepted
Alcedo hercules,Alcedo hercules,Alcedo hercules,accepted
Alcippe morrisonia,Alcippe morrisonia,Alcippe morrisonia,accepted
Amaurornis cinerea,Amaurornis cinerea,Amaurornis cinerea,accepted
Amaurornis phoenicurus,Amaurornis phoenicurus,Amaurornis phoenicurus,accepted
Anas carolinensis,Anas carolinensis,Anas carolinensis,accepted
Anastomus oscitans,Anastomus oscitans,Anastomus oscitans,accepted
Anhinga melanogaster,Anhinga melanogaster,Anhinga melanogaster,accepted
Anous stolidus,Anous stolidus,Anous stolidus,accepted
Anser albifrons,Anser albifrons,Anser albifrons,accepted
Anser anser,Anser anser,Anser anser,accepted
Anser caerulescens,Anser caerulescens,Anser caerulescens,accepted
Anser erythropus,Anser erythropus,Anser erythropus,accepted
Anser fabalis,Anser fabalis,Anser fabalis,accepted
Anser indicus,Anser indicus,Anser indicus,accepted
Anthreptes malacensis,Anthreptes malacensis,Anthreptes malacensis,accepted
Anthropoides virgo,Anthropoides virgo,Anthropoides virgo,accepted
Anthus godlewskii,Anthus godlewskii,Anthus godlewskii,accepted
Anthus gustavi,Anthus gustavi,Anthus gustavi,accepted
Anthus pratensis,Anthus pratensis,Anthus pratensis,accepted
Anthus richardi,Anthus richardi,Anthus richardi,accepted
Anthus roseatus,Anthus roseatus,Anthus roseatus,accepted
Anthus trivialis,Anthus trivialis,Anthus trivialis,accepted
Aquila fasciata,Aquila fasciata,Aquila fasciata,accepted
Aquila heliaca,Aquila heliaca,Aquila heliaca,accepted
Ardea intermedia,Ardea intermedia,Ardea intermedia,accepted
Ardenna pacifica,Ardenna pacifica,Ardenna pacifica,accepted
Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris,accepted
Ardeola bacchus,Ardeola bacchus,Ardeola bacchus,accepted
Ardeola grayii,Ardeola grayii,Ardeola grayii,accepted
Ardeola speciosa,Ardeola speciosa,Ardeola speciosa,accepted
Arenaria interpres,Arenaria interpres,Arenaria interpres,accepted
Artamus fuscus,Artamus fuscus,Artamus fuscus,accepted
Asarcornis scutulata,Asarcornis scutulata,Asarcornis scutulata,accepted
Asio flammeus,Asio flammeus,Asio flammeus,accepted
Athene noctua,Athene noctua,Athene noctua,accepted
Aviceda jerdoni,Aviceda jerdoni,Aviceda jerdoni,accepted
Aviceda leuphotes,Aviceda leuphotes,Aviceda leuphotes,accepted
Aythya collaris,Aythya collaris,Aythya collaris,accepted
Aythya fuligula,Aythya fuligula,Aythya fuligula,accepted
Aythya nyroca,Aythya nyroca,Aythya nyroca,accepted
Bombycilla japonica,Bombycilla japonica,Bombycilla japonica,accepted
Brachyramphus perdix,Brachyramphus perdix,Brachyramphus perdix,accepted
Branta bernicla,Branta bernicla,Branta bernicla,accepted
Branta canadensis,Branta canadensis,Branta canadensis,accepted
Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,accepted
Branta leucopsis,Branta leucopsis,Branta leucopsis,accepted
Branta ruficollis,Branta ruficollis,Branta ruficollis,accepted
