order,direction,count,n_total,proportion
Accipitriformes,East,3,19,0.15789473684210525
Accipitriformes,North,3,19,0.15789473684210525
Accipitriformes,Northeast,1,19,0.05263157894736842
Accipitriformes,Northwest,3,19,0.15789473684210525
Accipitriformes,South,1,19,0.05263157894736842
Accipitriformes,Southeast,3,19,0.15789473684210525
Accipitriformes,Southwest,2,19,0.10526315789473684
Accipitriformes,West,3,19,0.15789473684210525
Anseriformes,East,2,13,0.15384615384615385
Anseriformes,North,0,13,0
Anseriformes,Northeast,1,13,0.07692307692307693
Anseriformes,Northwest,0,13,0
Anseriformes,South,1,13,0.07692307692307693
Anseriformes,Southeast,3,13,0.23076923076923078
Anseriformes,Southwest,3,13,0.23076923076923078
Anseriformes,West,3,13,0.23076923076923078
Caprimulgiformes,East,0,2,0
Caprimulgiformes,North,0,2,0
Caprimulgiformes,Northeast,1,2,0.5
Caprimulgiformes,Northwest,0,2,0
Caprimulgiformes,South,1,2,0.5
Caprimulgiformes,Southeast,0,2,0
Caprimulgiformes,Southwest,0,2,0
Caprimulgiformes,West,0,2,0
Charadriiformes,East,7,34,0.20588235294117646
Charadriiformes,North,3,34,0.08823529411764706
Charadriiformes,Northeast,3,34,0.08823529411764706
Charadriiformes,Northwest,1,34,0.029411764705882353
Charadriiformes,South,5,34,0.14705882352941177
Charadriiformes,Southeast,3,34,0.08823529411764706
Charadriiformes,Southwest,8,34,0.23529411764705882
Charadriiformes,West,4,34,0.11764705882352941
Ciconiiformes,East,2,3,0.6666666666666666
Ciconiiformes,North,0,3,0
Ciconiiformes,Northeast,0,3,0
Ciconiiformes,Northwest,0,3,0
Ciconiiformes,South,0,3,0
Ciconiiformes,Southeast,0,3,0
Ciconiiformes,Southwest,1,3,0.3333333333333333
Ciconiiformes,West,0,3,0
Columbiformes,East,6,14,0.42857142857142855
Columbiformes,North,2,14,0.14285714285714285
Columbiformes,Northeast,4,14,0.2857142857142857
Columbiformes,Northwest,0,14,0
Columbiformes,South,0,14,0
Columbiformes,Southeast,1,14,0.07142857142857142
Columbiformes,Southwest,0,14,0
Columbiformes,West,1,14,0.07142857142857142
Coraciiformes,East,1,7,0.14285714285714285
Coraciiformes,North,1,7,0.14285714285714285
Coraciiformes,Northeast,1,7,0.14285714285714285
Coraciiformes,Northwest,1,7,0.14285714285714285
Coraciiformes,South,0,7,0
Coraciiformes,Southeast,1,7,0.14285714285714285
Coraciiformes,Southwest,0,7,0
Coraciiformes,West,2,7,0.2857142857142857
Cuculiformes,East,1,7,0.14285714285714285
Cuculiformes,North,2,7,0.2857142857142857
Cuculiformes,Northeast,2,7,0.2857142857142857
Cuculiformes,Northwest,1,7,0.14285714285714285
Cuculiformes,South,0,7,0
Cuculiformes,Southeast,0,7,0
Cuculiformes,Southwest,0,7,0
Cuculiformes,West,1,7,0.14285714285714285
Falconiformes,East,0,2,0
Falconiformes,North,0,2,0
Falconiformes,Northeast,0,2,0
Falconiformes,Northwest,1,2,0.5
Falconiformes,South,1,2,0.5
Falconiformes,Southeast,0,2,0
Falconiformes,Southwest,0,2,0
Falconiformes,West,0,2,0
Galliformes,East,1,8,0.125
Galliformes,North,0,8,0
Galliformes,Northeast,3,8,0.375
Galliformes,Northwest,0,8,0
Galliformes,South,1,8,0.125
Galliformes,Southeast,2,8,0.25
Galliformes,Southwest,0,8,0
Galliformes,West,1,8,0.125
Gaviiformes,East,1,3,0.3333333333333333
Gaviiformes,North,0,3,0
Gaviiformes,Northeast,0,3,0
Gaviiformes,Northwest,0,3,0
Gaviiformes,South,1,3,0.3333333333333333
Gaviiformes,Southeast,1,3,0.3333333333333333
Gaviiformes,Southwest,0,3,0
Gaviiformes,West,0,3,0
Gruiformes,East,3,11,0.2727272727272727
Gruiformes,North,0,11,0
Gruiformes,Northeast,2,11,0.18181818181818182
Gruiformes,Northwest,1,11,0.09090909090909091
Gruiformes,South,1,11,0.09090909090909091
Gruiformes,Southeast,1,11,0.09090909090909091
Gruiformes,Southwest,3,11,0.2727272727272727
Gruiformes,West,0,11,0
Otidiformes,East,1,1,1
Otidiformes,North,0,1,0
Otidiformes,Northeast,0,1,0
Otidiformes,Northwest,0,1,0
Otidiformes,South,0,1,0
Otidiformes,Southeast,0,1,0
Otidiformes,Southwest,0,1,0
Otidiformes,West,0,1,0
Passeriformes,East,43,158,0.2721518987341772
Passeriformes,North,18,158,0.11392405063291139
Passeriformes,Northeast,40,158,0.25316455696202533
Passeriformes,Northwest,10,158,0.06329113924050633
Passeriformes,South,10,158,0.06329113924050633
Passeriformes,Southeast,21,158,0.13291139240506328
Passeriformes,Southwest,12,158,0.0759493670886076
Passeriformes,West,4,158,0.02531645569620253
Pelecaniformes,East,1,10,0.1
Pelecaniformes,North,1,10,0.1
Pelecaniformes,Northeast,3,10,0.3
Pelecaniformes,Northwest,0,10,0
Pelecaniformes,South,0,10,0
Pelecaniformes,Southeast,1,10,0.1
Pelecaniformes,Southwest,1,10,0.1
Pelecaniformes,West,3,10,0.3
Piciformes,East,2,9,0.2222222222222222
Piciformes,North,1,9,0.1111111111111111
Piciformes,Northeast,1,9,0.1111111111111111
Piciformes,Northwest,2,9,0.2222222222222222
Piciformes,South,0,9,0
Piciformes,Southeast,0,9,0
Piciformes,Southwest,1,9,0.1111111111111111
Piciformes,West,2,9,0.2222222222222222
Podicipediformes,East,0,1,0
Podicipediformes,North,0,1,0
Podicipediformes,Northeast,0,1,0
Podicipediformes,Northwest,0,1,0
Podicipediformes,South,0,1,0
Podicipediformes,Southeast,0,1,0
Podicipediformes,Southwest,0,1,0
Podicipediformes,West,1,1,1
Pterocliformes,East,0,1,0
Pterocliformes,North,0,1,0
Pterocliformes,Northeast,0,1,0
Pterocliformes,Northwest,0,1,0
Pterocliformes,South,1,1,1
Pterocliformes,Southeast,0,1,0
Pterocliformes,Southwest,0,1,0
Pterocliformes,West,0,1,0
Strigiformes,East,1,13,0.07692307692307693
Strigiformes,North,2,13,0.15384615384615385
Strigiformes,Northeast,1,13,0.07692307692307693
Strigiformes,Northwest,2,13,0.15384615384615385
Strigiformes,South,2,13,0.15384615384615385
Strigiformes,Southeast,2,13,0.15384615384615385
Strigiformes,Southwest,2,13,0.15384615384615385
Strigiformes,West,1,13,0.07692307692307693
Suliformes,East,0,4,0
Suliformes,North,2,4,0.5
Suliformes,Northeast,0,4,0
Suliformes,Northwest,0,4,0
Suliformes,South,1,4,0.25
Suliformes,Southeast,0,4,0
Suliformes,Southwest,1,4,0.25
Suliformes,West,0,4,0
Trogoniformes,East,0,1,0
Trogoniformes,North,0,1,0
Trogoniformes,Northeast,0,1,0
Trogoniformes,Northwest,0,1,0
Trogoniformes,South,0,1,0
Trogoniformes,Southeast,0,1,0
Trogoniformes,Southwest,0,1,0
Trogoniformes,West,1,1,1
