order,direction,count,n_total,proportion
Accipitriformes,East,0,19,0
Accipitriformes,North,6,19,0.3157894736842105
Accipitriformes,Northeast,1,19,0.05263157894736842
Accipitriformes,Northwest,4,19,0.21052631578947367
Accipitriformes,South,2,19,0.10526315789473684
Accipitriformes,Southeast,3,19,0.15789473684210525
Accipitriformes,Southwest,2,19,0.10526315789473684
Accipitriformes,West,1,19,0.05263157894736842
Anseriformes,East,1,14,0.07142857142857142
Anseriformes,North,2,14,0.14285714285714285
Anseriformes,Northeast,1,14,0.07142857142857142
Anseriformes,Northwest,0,14,0
Anseriformes,South,2,14,0.14285714285714285
Anseriformes,Southeast,3,14,0.21428571428571427
Anseriformes,Southwest,3,14,0.21428571428571427
Anseriformes,West,2,14,0.14285714285714285
Caprimulgiformes,East,1,2,0.5
Caprimulgiformes,North,0,2,0
Caprimulgiformes,Northeast,1,2,0.5
Caprimulgiformes,Northwest,0,2,0
Caprimulgiformes,South,0,2,0
Caprimulgiformes,Southeast,0,2,0
Caprimulgiformes,Southwest,0,2,0
Caprimulgiformes,West,0,2,0
Charadriiformes,East,3,29,0.10344827586206896
Charadriiformes,North,5,29,0.1724137931034483
Charadriiformes,Northeast,1,29,0.034482758620689655
Charadriiformes,Northwest,1,29,0.034482758620689655
Charadriiformes,South,7,29,0.2413793103448276
Charadriiformes,Southeast,2,29,0.06896551724137931
Charadriiformes,Southwest,7,29,0.2413793103448276
Charadriiformes,West,3,29,0.10344827586206896
Ciconiiformes,East,1,3,0.3333333333333333
Ciconiiformes,North,0,3,0
Ciconiiformes,Northeast,0,3,0
Ciconiiformes,Northwest,0,3,0
Ciconiiformes,South,0,3,0
Ciconiiformes,Southeast,1,3,0.3333333333333333
Ciconiiformes,Southwest,1,3,0.3333333333333333
Ciconiiformes,West,0,3,0
Columbiformes,East,1,10,0.1
Columbiformes,North,4,10,0.4
Columbiformes,Northeast,2,10,0.2
Columbiformes,Northwest,2,10,0.2
Columbiformes,South,0,10,0
Columbiformes,Southeast,1,10,0.1
Columbiformes,Southwest,0,10,0
Columbiformes,West,0,10,0
Coraciiformes,East,0,6,0
Coraciiformes,North,1,6,0.16666666666666666
Coraciiformes,Northeast,1,6,0.16666666666666666
Coraciiformes,Northwest,2,6,0.3333333333333333
Coraciiformes,South,0,6,0
Coraciiformes,Southeast,1,6,0.16666666666666666
Coraciiformes,Southwest,1,6,0.16666666666666666
Coraciiformes,West,0,6,0
Cuculiformes,East,0,5,0
Cuculiformes,North,2,5,0.4
Cuculiformes,Northeast,2,5,0.4
Cuculiformes,Northwest,0,5,0
Cuculiformes,South,0,5,0
Cuculiformes,Southeast,1,5,0.2
Cuculiformes,Southwest,0,5,0
Cuculiformes,West,0,5,0
Falconiformes,East,0,2,0
Falconiformes,North,1,2,0.5
Falconiformes,Northeast,0,2,0
Falconiformes,Northwest,0,2,0
Falconiformes,South,0,2,0
Falconiformes,Southeast,1,2,0.5
Falconiformes,Southwest,0,2,0
Falconiformes,West,0,2,0
Galliformes,East,0,8,0
Galliformes,North,2,8,0.25
Galliformes,Northeast,0,8,0
Galliformes,Northwest,1,8,0.125
Galliformes,South,4,8,0.5
