record_id,species,bl_accepted,bl_match_type,order,province,year,longitude,latitude,year_in_scope,point_baseline_temp,point_baseline_prec,point_year_temp,point_year_prec,point_temp_delta_from_baseline,point_prec_delta_from_baseline,has_range_polygon,range_baseline_temp_mean,range_baseline_prec_mean,range_year_temp_mean,range_year_prec_mean,range_temp_delta_from_baseline,range_prec_delta_from_baseline,point_temp_minus_range_baseline,point_prec_minus_range_baseline,centroid_lon,centroid_lat,nearest_edge_lon,nearest_edge_lat,bearing_from_centroid_deg,direction_8_centroid,bearing_from_nearest_edge_deg,direction_8_nearest_edge,centroid_delta_lon_deg,centroid_delta_lat_deg,edge_delta_lon_deg,edge_delta_lat_deg,distance_to_centroid_km,distance_to_nearest_edge_km,point_inside_range
1,Accipiter badius,Accipiter badius,accepted,Accipitriformes,Hunan,2024,111.63,25.19,TRUE,18.7239990234375,1539,20.16666603088379,1694.449951171875,1.442667007446289,155.449951171875,TRUE,18.65466542721465,1370.4113843991568,19.90742433231585,1493.8712436138728,1.2527589051011994,123.45985921471606,1.51200060366914,324.03856677271824,104.51769974135236,23.71182882371707,110.19202023700007,24.30399174400003,75.68199301140169,E,55.54558945345758,NE,7.112300258647636,1.478171176282931,1.4379797629999302,0.8860082559999718,740.4233048832901,175.51880733714367,FALSE
2,Accipiter gularis,Accipiter gularis,accepted,Accipitriformes,Xinjiang,2013,88.36,36.47,TRUE,-8.961833000183105,189,-7.90625,242.5,1.0555830001831055,53.5,TRUE,10.160292530184707,927.436795564459,10.464543403771962,957.4314063705164,0.30425087358725555,29.99461080605738,-18.066542530184705,-684.936795564459,118.70937547063613,36.91321872104126,100.63067640599189,21.48085372714262,278.18628570558326,W,327.21602700034094,NW,-30.349375470636133,-0.44321872104126214,-12.270676405991892,14.98914627285738,2652.810706070206,1938.6696791804623,FALSE
3,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Gansu,2015,116.22,33.7,TRUE,14.91450023651123,763,15.541666984558105,859.0250244140625,0.627166748046875,96.0250244140625,TRUE,14.49134420495843,1219.1743548685101,15.288569333886526,1351.1984431505887,0.7972251289280958,132.02408828207854,1.050322779599675,-360.14933045444764,115.80494602466158,30.938944443441535,116.22,33.7,7.129595602795973,N,0,N,0.4150539753384237,2.7610555565584676,0,0,313.33984841787753,0,TRUE
4,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Heilongjiang,2018,125.25,49.09,TRUE,0.6134167313575745,495,1.3229166269302368,635.4000244140625,0.7094998955726624,140.4000244140625,TRUE,14.49134420495843,1219.1743548685101,15.215150282637627,1249.6390782355,0.7238060776791961,30.4647233669898,-13.168427578028194,-583.7743304544476,115.80494602466158,30.938944443441535,126.75425845141666,45.85170037435132,18.777372938914596,N,343.1190909252704,N,9.445053975338425,18.151055556558468,-1.5042584514166606,3.2382996256486862,2186.350875994071,364.0799712226917,FALSE
5,Accipiter soloensis,Accipiter soloensis,accepted,Accipitriformes,Inner Mongolia,2020,105.66,38.11,TRUE,8.326333045959473,196,9.520833015441895,195.3000030517578,1.1944999694824219,-0.6999969482421875,TRUE,14.49134420495843,1219.1743548685101,15.479450860077506,1300.6681489685056,0.9881066551190756,81.49379409999551,-4.970511189516536,-1023.8743518167523,115.80494602466158,30.938944443441535,108.20251464800003,31.029296875000057,313.4213218946066,NW,344.2385701566258,N,-10.144946024661579,7.171055556558464,-2.5425146480000365,7.080703124999943,1220.532611647669,831.2324565448731,FALSE
6,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Anhui,2006,117.82,30.23,TRUE,15.331250190734863,1584,16.32291603088379,1355.425048828125,0.9916658401489258,-228.574951171875,TRUE,20.432140220932364,1752.5437622468974,21.1501415673131,1734.9848596921197,0.7180013463807349,-17.55890255477766,-4.109224190048575,-397.11871341877236,105.63303227552561,22.837168651025863,121.52148437500011,25.27252197300004,53.24437526453124,NE,327.3900712066007,NW,12.186967724474385,7.392831348974138,-3.7014843750001205,4.957478026999961,1460.6967089432594,660.9212610957057,FALSE
7,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Beijing,2013,116.17,39.99,TRUE,12.027166366577148,549,12.5625,577.57501220703125,0.5353336334228516,28.57501220703125,TRUE,20.432140220932364,1752.5437622468974,20.760519893603245,1922.4383262178158,0.32837967267088075,169.8945639709184,-7.869640220932364,-1174.968750039866,105.63303227552561,22.837168651025863,121.55267334000007,25.293518067000036,25.038371108858087,NE,344.26798487568084,N,10.536967724474394,17.15283134897414,-5.382673340000068,14.696481932999966,2159.3176370176266,1724.651600753752,FALSE
8,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Gansu,2020,105.4,32.6,TRUE,14.737916946411133,815,14.864583015441895,877.95001220703125,0.12666606903076172,62.95001220703125,TRUE,20.432140220932364,1752.5437622468974,21.32696966804036,1574.049065506096,0.8948294471079947,-178.49469674080137,-5.56755720549047,-874.5937500398661,105.63303227552561,22.837168651025863,104.66650390600006,23.298889160000044,358.84243693933996,N,3.8169088593828633,N,-0.23303227552560202,9.762831348974139,0.7334960939999462,9.301110839999957,1089.0247554937064,1010.9534377022084,FALSE
9,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Henan,2008,114.25,31.95,TRUE,15.38841724395752,1100,16.09375,1216,0.7053327560424805,116,TRUE,20.432140220932364,1752.5437622468974,20.464461058115344,1964.7029005597128,0.03232083718297929,212.15913831281546,-4.338390220932364,-536.5437622468974,105.63303227552561,22.837168651025863,113.05529785100009,22.758483887000068,38.106742910903904,NE,6.317224534333775,N,8.616967724474392,9.112831348974137,1.1947021489999088,9.191516112999931,1321.22101919689,1026.0677838502477,FALSE
10,Accipiter trivirgatus,Accipiter trivirgatus,accepted,Accipitriformes,Liaoning,2017,121.14,38.73,TRUE,10.47569465637207,568,11.75,505.70001220703125,1.2743053436279297,-62.29998779296875,TRUE,20.432140220932364,1752.5437622468974,20.99759746329997,1929.7405426414214,0.5654572423676072,177.196780394524,-8.682140220932364,-1246.843750039866,105.63303227552561,22.837168651025863,121.57229068800524,25.297808069566567,36.21029935337128,NE,358.5486430566009,N,15.506967724474393,15.892831348974134,-0.4322906880052386,13.43219193043343,2300.2262820515016,1509.9413154403508,FALSE
